step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0,energy_sub1
231,0.231,372,0.069778,1.44353e-06,0,-509.237,846.435,42.3633
232,0.232,359,0.246453,6.79436e-05,0,-553.515,792.019,40.7954
233,0.233,346,0.057881,1.15368e-06,0,-597.063,738.322,39.3168
234,0.234,330,0.10694,4.23754e-05,0,-639.512,685.73,37.9027
235,0.23500000000000001,317,0.084969,1.21515e-05,0,-680.516,634.594,36.5271
236,0.23600000000000002,304,0.067278,0.00113467,0,-719.761,585.221,35.1715
237,0.23700000000000002,293,0.04642,6.26097e-07,0,-756.969,537.869,33.8266
238,0.23800000000000002,283,0.1432,0.000254281,0,-791.906,492.751,32.489
239,0.23900000000000002,274,0.083377,2.45754e-05,0,-824.379,450.037,31.1606
240,0.24,259,0.097093,3.29053e-05,0,-854.233,409.852,29.8259
241,0.241,250,0.395619,0.00010301,0,-881.367,372.287,28.4915
242,0.242,240,0.138327,0.000138544,0,-905.703,337.417,27.1538
243,0.243,229,0.076546,0.000679887,0,-927.184,305.303,25.807
244,0.244,220,0.112891,0.000724701,0,-945.774,275.983,24.4334
245,0.245,210,0.146794,0.00123108,0,-961.46,249.483,23.0258
246,0.246,198,0.102352,0.00013882,0,-974.242,225.802,21.5755
247,0.247,188,0.091996,0.000499651,0,-984.141,204.911,20.0771
248,0.248,176,0.292241,1.11828e-05,0,-991.208,186.742,18.5318
249,0.249,164,0.105558,0.000421769,0,-995.521,171.19,16.9462
250,0.25,155,0.097774,2.86493e-05,0,-997.198,158.105,15.3315
251,0.251,142,0.078491,1.2499e-05,0,-996.395,147.294,13.7075
252,0.252,134,0.112101,0.000507476,0,-993.302,138.532,12.1021
253,0.253,129,0.052598,8.90626e-05,0,-988.136,131.558,10.5413
254,0.254,118,0.056866,3.91903e-05,0,-981.154,126.087,9.06223
255,0.255,113,0.155997,3.14312e-05,0,-972.625,121.819,7.70405
256,0.256,106,0.333389,4.65776e-06,0,-962.833,118.439,6.4988
257,0.257,97,0.064849,1.31436e-05,0,-952.087,115.622,5.46283
258,0.258,89,0.086919,4.73835e-05,0,-940.716,113.041,4.5961
259,0.259,78,0.040045,4.6265e-06,0,-929.068,110.385,3.87657
260,0.26,69,0.058474,0.00070043,0,-917.49,107.385,3.29069
261,0.261,61,0.237837,0.00138541,0,-906.265,103.832,2.83581
262,0.262,53,0.119479,0.00100743,0,-895.609,99.5781,2.50709
263,0.263,48,0.075123,0.000383295,0,-885.678,94.5413,2.28041
264,0.264,38,0.037113,1.39499e-05,0,-876.586,88.7133,2.11117
265,0.265,31,0.041764,6.41451e-07,0,-868.379,82.1621,1.9651
266,0.266,26,0.170199,5.83277e-06,0,-861.017,75.0233,1.81693
267,0.267,20,0.063756,0.000499982,0,-854.383,67.4864,1.65893
268,0.268,18,0.229601,0.000245893,0,-848.284,59.785,1.48995
269,0.269,16,0.045722,1.4459e-05,0,-842.485,52.1729,1.30352
270,0.27,10,0.02451,1.87318e-06,0,-836.732,44.8949,1.10831
271,0.271,10,0.019111,4.32346e-07,0,-830.762,38.1765,0.916899
272,0.272,8,0.018583,3.15757e-07,0,-824.336,32.2086,0.737504
273,0.273,8,0.011933,4.35637e-07,0,-817.255,27.1367,0.573316
274,0.274,7,0.012073,4.43096e-07,0,-809.371,23.0519,0.423501
275,0.275,4,0.014007,1.31521e-06,0,-800.598,19.9905,0.287711
276,0.276,4,0.009467,2.00118e-06,0,-790.899,17.9447,0.173845
277,0.277,3,0.046876,2.09182e-06,0,-780.272,16.8676,0.0901793
278,0.278,3,0.010434,2.52277e-06,0,-768.759,16.678,0.0357448
279,0.279,2,0.012579,2.16858e-09,0,-756.447,17.2674,0.00802168
