step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0,energy_sub1
130,0.13,0,0.005736,4.84475e-10,0,-813.195,6.44462e-12,
131,0.131,0,0.005533,5.12787e-10,0,-825.754,6.59384e-12,
132,0.132,0,0.006839,4.85467e-10,0,-838.409,4.26326e-12,
133,0.133,0,0.004531,4.98897e-10,0,-851.16,5.40723e-12,
134,0.134,0,0.005165,4.22975e-10,0,-864.008,6.35225e-12,
135,0.135,0,0.006465,4.44901e-10,0,-876.951,6.65779e-12,
136,0.136,0,0.007268,3.88926e-10,0,-889.991,5.82645e-12,
137,0.137,0,0.012284,4.22999e-10,0,-903.128,3.91509e-12,
138,0.138,0,0.010886,4.42118e-10,0,-916.36,7.62412e-12,
139,0.139,0,0.006591,4.62573e-10,0,-929.689,5.11591e-12,
140,0.14,0,0.00398,5.97587e-10,0,-943.114,3.55982e-12,
141,0.14100000000000001,0,0.00396,4.42128e-10,0,-956.635,4.47642e-12,
142,0.14200000000000002,0,0.009082,4.82167e-10,0,-970.252,5.43565e-12,
143,0.14300000000000002,0,0.006053,4.82525e-10,0,-983.966,5.13012e-12,
144,0.14400000000000002,0,0.005392,4.22263e-10,0,-997.776,5.2367e-12,
145,0.145,0,0.004821,4.718e-10,0,-1011.68,5.27933e-12,
146,0.146,0,0.004368,4.99152e-10,0,-1025.68,5.46407e-12,
147,0.147,0,0.004755,5.69563e-10,0,-1039.78,4.62563e-12,
148,0.148,0,0.005128,5.8754e-10,0,-1053.98,4.9738e-12,
149,0.149,0,0.009512,5.79511e-10,0,-1068.27,8.78941e-12,
150,0.15,0,0.005488,5.61352e-10,0,-1082.66,4.42668e-12,
151,0.151,0,0.004732,5.05324e-10,0,-1097.14,5.08749e-12,
152,0.152,0,0.005204,5.32705e-10,0,-1111.72,4.59011e-12,
153,0.153,0,0.005448,4.97307e-10,0,-1126.4,5.13012e-12,
154,0.154,0,0.004419,5.01385e-10,0,-1141.17,3.26139e-12,
155,0.155,0,0.004264,5.80878e-10,0,-1156.04,4.9809e-12,
156,0.156,0,0.007674,5.66206e-10,0,-1171.0,4.17089e-12,
157,0.157,0,0.036024,5.92279e-10,0,-1186.06,4.4551e-12,
158,0.158,0,0.007875,4.92127e-10,0,-1201.22,2.57216e-12,
159,0.159,0,0.005209,4.55624e-10,0,-1216.47,3.41771e-12,
160,0.16,0,0.005251,4.56466e-10,0,-1231.82,3.6664e-12,
161,0.161,0,0.005673,4.53036e-10,0,-1247.27,4.63984e-12,
162,0.162,0,0.005989,3.90819e-10,0,-1262.81,1.74794e-12,
163,0.163,0,0.004786,5.05971e-10,0,-1278.45,3.04823e-12,
164,0.164,0,0.005268,4.91651e-10,0,-1294.18,5.54934e-12,
165,0.165,0,0.012923,4.34894e-10,0,-1310.01,4.81037e-12,
166,0.166,1,0.010328,6.41831e-10,0,-1325.94,1.66267e-12,
167,0.167,2,0.011173,6.55433e-10,0,-1341.96,9.51309e-07,0.00324425
168,0.168,5,0.07806,2.23872e-05,0,-1358.08,7.83144e-06,0.00844675
169,0.169,7,0.176363,0.000318941,0,-1374.29,4.29274e-05,0.0256164
170,0.17,11,0.090702,0.000400335,0,-1390.58,0.000178764,0.0591404
171,0.171,15,0.011889,9.97267e-08,0,-1406.95,0.000590774,0.121958
172,0.17200000000000001,23,0.016338,2.90747e-07,0,-1423.38,0.00163549,0.226371
173,0.17300000000000001,29,0.010254,7.33011e-07,0,-1439.85,0.00402961,0.391695
174,0.17400000000000002,38,0.037035,1.67902e-06,0,-1456.35,0.0088844,0.628048
175,0.17500000000000002,49,0.016327,8.4443e-10,0,-1472.86,0.0178632,0.963995
176,0.176,57,0.042776,2.8495e-06,0,-1489.35,0.033155,1.4184
177,0.177,73,0.018726,2.89443e-06,0,-1505.79,0.0573855,2.0172
178,0.178,84,0.013632,5.95082e-09,0,-1522.16,0.0937414,2.80788
179,0.179,105,0.030936,7.07915e-06,0,-1538.4,0.145625,3.80861
180,0.18,126,0.015157,1.72783e-08,0,-1554.48,0.216986,5.08999
181,0.181,145,0.054101,5.3851e-06,0,-1570.32,0.312839,6.68171
182,0.182,170,0.014387,4.23352e-08,0,-1585.87,0.439736,8.65042
183,0.183,200,0.064514,5.58823e-05,0,-1601.07,0.60521,11.0689
184,0.184,230,0.013674,9.17377e-08,0,-1615.83,0.817594,14.0133
185,0.185,256,0.165456,0.00017012,0,-1630.05,1.08606,17.5435
186,0.186,287,0.15972,2.21279e-05,0,-1643.64,1.41983,21.758
187,0.187,306,0.018708,2.32245e-07,0,-1656.51,1.82859,26.7217
188,0.188,343,0.021414,2.53272e-07,0,-1668.57,2.32253,32.485
189,0.189,366,0.017307,3.62555e-07,0,-1679.76,2.9131,39.1605
190,0.19,407,0.01978,4.29816e-07,0,-1689.94,3.6128,46.7753
191,0.191,445,0.116436,1.55453e-05,0,-1699.08,4.43485,55.4671
192,0.192,479,0.025297,5.64782e-07,0,-1706.99,5.39252,65.2929
193,0.193,517,0.107553,0.000188168,0,-1713.59,6.49911,76.3567
194,0.194,550,0.099177,6.66869e-07,0,-1718.76,7.76813,88.7391
195,0.195,586,0.1059,0.000260691,0,-1722.4,9.21602,102.516
196,0.196,611,0.087199,1.32102e-05,0,-1724.41,10.8598,117.762
197,0.197,628,0.020466,9.29399e-07,0,-1724.68,12.7188,134.488
198,0.198,642,0.023125,1.09468e-06,0,-1723.18,14.8108,152.707
199,0.199,648,0.252315,0.000119182,0,-1719.9,17.1557,172.392
200,0.2,653,0.021886,1.53205e-06,0,-1714.83,19.7738,193.483
201,0.201,657,0.119442,0.000753574,0,-1708.02,22.6877,215.923
202,0.202,662,0.098285,0.000668641,0,-1699.5,25.924,239.648
203,0.203,669,0.020014,2.48301e-06,0,-1689.29,29.5139,264.59
204,0.20400000000000001,675,0.033558,2.80626e-06,0,-1677.44,33.4938,290.679
205,0.20500000000000002,682,0.028501,8.10274e-07,0,-1663.95,37.9031,317.844
206,0.20600000000000002,691,0.034515,2.11566e-06,0,-1648.85,42.7843,346.016
207,0.20700000000000002,701,0.032585,8.98305e-07,0,-1632.15,48.1808,375.13
208,0.20800000000000002,708,0.033322,9.37698e-07,0,-1613.87,54.1356,405.124
209,0.209,714,0.119712,6.11517e-05,0,-1594.02,60.6867,435.932
210,0.21,721,0.114505,3.98878e-06,0,-1572.6,67.8668,467.501
211,0.211,721,0.094311,0.000555062,0,-1549.65,75.702,499.774
212,0.212,721,0.095801,2.79357e-06,0,-1525.17,84.2072,532.694
213,0.213,721,0.149125,4.48102e-06,0,-1499.2,93.3881,566.21
214,0.214,721,0.033925,1.17288e-06,0,-1471.79,103.241,600.275
215,0.215,721,0.043021,3.21739e-06,0,-1442.98,113.753,634.85
216,0.216,721,0.031356,1.65601e-08,0,-1412.8,124.902,669.891
217,0.217,721,0.08029,1.51358e-05,0,-1381.32,136.659,705.373
218,0.218,721,0.028251,1.87884e-08,0,-1348.58,148.984,741.255
219,0.219,721,0.135537,0.000182765,0,-1314.65,161.833,777.518
220,0.22,721,0.095831,1.48289e-06,0,-1279.6,175.154,814.125
221,0.221,722,0.205612,7.41829e-06,0,-1243.5,188.89,851.052
222,0.222,722,0.035076,3.32736e-08,0,-1206.42,202.981,888.268
223,0.223,723,0.067726,6.41799e-06,0,-1168.45,217.358,925.745
224,0.224,724,0.192471,0.000350489,0,-1129.68,231.951,963.458
225,0.225,727,0.081453,5.72969e-06,0,-1090.19,246.686,1001.37
226,0.226,727,0.052754,2.65589e-08,0,-1050.08,261.487,1039.47
227,0.227,730,0.143137,4.53118e-06,0,-1009.46,276.274,1077.7
228,0.228,731,0.136975,5.03293e-06,0,-968.421,290.969,1116.05
229,0.229,734,0.198544,4.51373e-06,0,-927.074,305.492,1154.47
230,0.23,737,0.031923,1.67639e-06,0,-885.528,319.766,1192.92
231,0.231,740,0.138094,4.74135e-06,0,-843.893,333.714,1231.36
232,0.232,742,0.168074,1.60848e-05,0,-802.277,347.263,1269.75
233,0.233,745,0.39644,5.22039e-05,0,-760.791,360.343,1308.05
234,0.234,747,0.073374,7.74314e-06,0,-719.548,372.886,1346.2
235,0.23500000000000001,751,0.032523,3.74369e-08,0,-678.655,384.83,1384.16
236,0.23600000000000002,755,0.031096,4.19093e-08,0,-638.22,396.118,1421.87
237,0.23700000000000002,759,0.031143,2.7922e-06,0,-598.348,406.699,1459.27
238,0.23800000000000002,762,0.033084,5.40203e-08,0,-559.139,416.531,1496.31
239,0.23900000000000002,769,0.034854,6.09358e-08,0,-520.692,425.575,1532.92
240,0.24,773,0.031642,6.79457e-08,0,-483.102,433.806,1569.03
241,0.241,776,0.03457,7.4735e-08,0,-446.454,441.204,1604.57
242,0.242,781,0.030973,8.09382e-08,0,-410.835,447.757,1639.47
243,0.243,785,0.033274,8.66248e-08,0,-376.323,453.463,1673.66
244,0.244,791,0.032154,9.14432e-08,0,-342.992,458.331,1707.05
245,0.245,795,0.03967,9.54466e-08,0,-310.911,462.378,1739.56
246,0.246,797,0.062037,9.85119e-08,0,-280.141,465.628,1771.09
247,0.247,802,0.031666,1.04504e-07,0,-250.742,468.111,1801.57
248,0.248,807,0.039612,2.2403e-06,0,-222.77,469.865,1830.89
249,0.249,809,0.212409,5.06813e-06,0,-196.272,470.932,1858.96
250,0.25,814,0.034453,1.00808e-07,0,-171.297,471.359,1885.7
251,0.251,816,0.208122,8.50229e-06,0,-147.888,471.193,1911.0
252,0.252,817,0.225029,1.67808e-05,0,-126.088,470.485,1934.78
253,0.253,817,0.029316,9.33138e-08,0,-105.936,469.284,1956.94
254,0.254,817,0.031789,9.3796e-08,0,-87.4719,467.637,1977.39
255,0.255,817,0.086547,1.60494e-05,0,-70.7317,465.594,1996.05
256,0.256,817,0.092457,0.000709646,0,-55.7508,463.198,2012.85
257,0.257,817,0.035105,7.4452e-08,0,-42.5629,460.495,2027.69
258,0.258,817,0.232117,0.00154853,0,-31.1995,457.524,2040.51
259,0.259,817,0.146785,6.42192e-06,0,-21.6901,454.325,2051.24
260,0.26,817,0.035313,5.76615e-08,0,-14.0613,450.933,2059.83
261,0.261,817,0.092255,1.06508e-05,0,-8.33686,447.381,2066.22
262,0.262,817,0.030261,4.62291e-08,0,-4.53719,443.7,2070.35
263,0.263,817,0.033465,4.10736e-08,0,-2.67859,439.916,2072.21
264,0.264,817,0.032011,3.54791e-08,0,-2.77299,436.056,2071.73
265,0.265,817,0.10269,3.07295e-08,0,-4.82745,432.14,2068.93
266,0.266,817,0.037743,3.5844e-08,0,-8.8439,428.186,2063.76
267,0.267,817,0.032451,2.37925e-08,0,-14.8187,424.211,2056.23
268,0.268,817,0.031543,2.2883e-08,0,-22.7422,420.226,2046.36
269,0.269,817,0.031308,1.28874e-07,0,-32.5989,416.238,2034.14
270,0.27,817,0.032346,2.44174e-08,0,-44.3669,412.255,2019.62
271,0.271,817,0.14489,1.47261e-06,0,-58.0179,408.276,2002.81
272,0.272,817,0.1349,0.000705467,0,-73.5173,404.302,1983.78
273,0.273,817,0.084004,7.50207e-06,0,-90.8237,400.325,1962.57
274,0.274,817,0.249123,0.000463046,0,-109.889,396.339,1939.26
275,0.275,815,0.156888,8.64969e-06,0,-130.66,392.333,1913.91
276,0.276,813,0.232035,9.6024e-06,0,-153.076,388.292,1886.61
