step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0
128,0.128,0,0.005203,4.63344e-10,0,-788.366,4.34852e-12
129,0.129,0,0.003434,4.4821e-10,0,-800.732,3.46034e-12
130,0.13,0,0.003803,3.82915e-10,0,-813.195,4.17089e-12
131,0.131,0,0.003296,5.17828e-10,0,-825.754,4.68248e-12
132,0.132,0,0.009374,5.33432e-10,0,-838.409,4.80327e-12
133,0.133,0,0.010757,4.16677e-10,0,-851.16,5.1017e-12
134,0.134,0,0.004495,4.80431e-10,0,-864.008,6.74305e-12
135,0.135,0,0.003687,5.52736e-10,0,-876.951,5.22959e-12
136,0.136,0,0.006702,4.64608e-10,0,-889.991,4.81748e-12
137,0.137,0,0.004038,3.8201e-10,0,-903.128,6.09646e-12
138,0.138,0,0.004861,4.52325e-10,0,-916.36,3.88667e-12
139,0.139,0,0.010447,4.42816e-10,0,-929.689,3.60956e-12
140,0.14,0,0.00902,4.91992e-10,0,-943.114,3.28271e-12
141,0.14100000000000001,0,0.006389,5.58544e-10,0,-956.635,5.94014e-12
142,0.14200000000000002,0,0.00456,5.15635e-10,0,-970.252,3.90088e-12
143,0.14300000000000002,0,0.006336,4.74566e-10,0,-983.966,5.4996e-12
144,0.14400000000000002,0,0.004127,4.96078e-10,0,-997.776,4.51905e-12
145,0.145,0,0.003969,5.61363e-10,0,-1011.68,3.42482e-12
146,0.146,0,0.005243,4.66318e-10,0,-1025.68,3.03402e-12
147,0.147,0,0.005754,5.54886e-10,0,-1039.78,4.89564e-12
148,0.148,0,0.004206,4.84622e-10,0,-1053.98,7.28306e-12
149,0.149,0,0.005665,4.04533e-10,0,-1068.27,4.09273e-12
150,0.15,0,0.00465,4.93874e-10,0,-1082.66,4.85301e-12
151,0.151,0,0.003938,4.68533e-10,0,-1097.14,4.7109e-12
152,0.152,0,0.004702,4.57402e-10,0,-1111.72,5.47118e-12
153,0.153,0,0.006465,5.00203e-10,0,-1126.4,4.40536e-12
154,0.154,0,0.005255,5.04228e-10,0,-1141.17,3.04112e-12
155,0.155,0,0.004845,4.90004e-10,0,-1156.04,4.27747e-12
156,0.156,0,0.009956,4.94548e-10,0,-1171.0,5.40723e-12
157,0.157,0,0.016507,5.50455e-10,0,-1186.06,2.03926e-12
158,0.158,0,0.013826,4.70419e-10,0,-1201.22,3.98614e-12
159,0.159,1,0.073662,4.00511e-06,0,-1216.47,3.99325e-12
160,0.16,1,0.133695,1.90521e-05,0,-1231.82,0.0013061
161,0.161,2,0.034583,1.14778e-08,0,-1247.13,0.0214531
162,0.162,5,0.018556,3.07183e-08,0,-1262.35,0.112999
163,0.163,6,0.059397,2.82968e-05,0,-1277.4,0.368242
164,0.164,9,0.13944,2.02517e-05,0,-1291.84,0.946464
165,0.165,10,0.025815,1.83622e-08,0,-1305.86,2.0393
166,0.166,14,0.313278,1.11102e-05,0,-1319.66,3.7217
167,0.167,14,0.110018,2.35993e-06,0,-1333.21,5.97049
168,0.168,17,0.036668,2.22677e-07,0,-1346.35,8.74921
169,0.169,23,0.028046,4.38539e-07,0,-1358.98,12.0566
170,0.17,30,0.12344,2.07478e-05,0,-1371.02,15.9627
171,0.171,47,0.058729,3.75672e-06,0,-1382.27,20.5607
172,0.17200000000000001,61,0.027212,2.09762e-06,0,-1392.15,25.922
173,0.17300000000000001,76,0.018966,1.72132e-06,0,-1399.52,32.4729
174,0.17400000000000002,87,0.074195,4.99747e-06,0,-1404.75,40.9049
175,0.17500000000000002,97,0.020701,3.17419e-06,0,-1407.77,51.6018
176,0.176,108,0.034136,3.38083e-06,0,-1407.42,64.8239
177,0.177,126,0.02294,3.56072e-08,0,-1403.75,80.8588
178,0.178,138,0.045783,0.000429377,0,-1396.17,99.8538
179,0.179,150,0.085661,3.52996e-05,0,-1384.61,121.992
180,0.18,163,0.018684,9.54451e-07,0,-1370.56,147.299
181,0.181,180,0.029112,3.1176e-07,0,-1354.56,175.474
182,0.182,199,0.097708,7.77805e-07,0,-1336.15,206.219
183,0.183,214,0.023886,2.03611e-06,0,-1314.87,239.39
184,0.184,238,0.076098,0.000329354,0,-1290.64,274.968
185,0.185,264,0.019569,2.3486e-06,0,-1263.72,312.882
186,0.186,307,0.036039,1.1254e-08,0,-1234.03,352.997
187,0.187,359,0.057135,2.57675e-06,0,-1200.81,394.962
188,0.188,408,0.018532,2.7112e-06,0,-1161.27,438.635
189,0.189,452,0.156163,4.34538e-06,0,-1116.3,485.032
190,0.19,483,0.041862,2.44445e-06,0,-1067.91,534.472
191,0.191,493,0.027197,9.15281e-07,0,-1013.32,586.299
192,0.192,494,0.033147,8.21327e-07,0,-957.868,639.626
193,0.193,489,0.101768,7.0928e-06,0,-905.318,692.371
194,0.194,484,0.068729,6.30167e-06,0,-855.283,743.422
195,0.195,479,0.053923,9.16292e-05,0,-807.433,793.552
